Name,longitude,latitude
Duluth Entertainment Convention Center,-92.100699,46.781132
Country Inn – Two Harbors,-91.682768,47.024267
Fitger’s Inn,-92.090843,46.792244
The Edgewater Resort & Waterpark,-92.063547,46.806981
UMD (Kirby Circle),-92.086538,46.817872
Super One Foods – Two Harbors,-91.681076,47.027231
AmericInn – Two Harbors,-91.689584,47.025071
Miller Hill Mall (Perkins),-92.156107,46.804005
