Name,type,longitude,latitude
1,MM,-91.926922,46.879333
2,MMFA,-91.943817,46.870676
3,MMMTo,-91.960586,46.862010
4,MMFA,-91.977422,46.853983
5,MM,-91.993295,46.844538
6,MMMT,-92.009605,46.836162
7,MMFA,-92.027200,46.828472
8,MMFA,-92.044312,46.821563
9,MMMT,-92.058417,46.810920
10,MMFA,-92.074709,46.801592
11,MMFA,-92.090195,46.793068
12,MMFA,-92.104042,46.782457
13,MM,-92.094884,46.785211
F,MM,-92.093920,46.782271
